"Rowley 2013 (resampled data)",,,
,,,
"Ma (rounded value)",Min,Mean,Max
0,-1,-0.75,0
0.01,-120,-30,0
1,-80,-21.15535725,1.428571
2,-60.5,-16.93571425,3.857143
3,-12.6,-2.7160715,6.285714
4,-16.8,-4.2714285,8.714286
5,-21,-5.82678575,11.142857
6,-20.2,-6.13214275,13.571429
7,-19.4,-6.4375,16
8,-19,-6.74285725,18.428571
9,-17.8,-3.27321425,20.857143
10,-17,0.1964285,23.285714
11,-13,1.2410715,25.714286
12,-11.2,2.28571425,28.142857
13,-12.05,2.33035725,30.571429
14,-12.9,2.375,33
15,-13.75,1.58173075,32.076923
16,-14.6,0.7884615,31.153846
17,-15.45,-0.00480775,30.230769
18,-16.3,-0.798077,29.307692
19,-17.15,-1.59134625,28.384615
20,-18,-2.3846155,27.461538
21,-16,-1.85705125,26.538462
22,-14,-1.329487,25.615385
23,-12,-0.801923,24.692308
24,-10.666667,-0.274359,23.769231
25,-10.833333,0.25320525,22.846154
26,-11,0.78076925,21.923077
27,-14,0.6,21
28,-17,1.01956525,22.478261
29,-20,1.4391305,23.956522
30,-23,1.85869575,25.434783
31,-26,3.04968925,26.913043
32,-29,4.24068325,28.391304
33,-32,5.431677,29.869565
34,-20.8,10.17267075,31.347826
35,-9.6,14.9136645,32.826087
36,1.6,19.87132525,34.304348
37,12.8,24.8289855,35.782609
38,20.6,29.6214675,37.26087
39,23.466667,32.80144925,40.25
40,26.333333,35.981431,43.875
41,29.2,39.161413,47.5
42,32.066667,42.341395,51.125
43,34.933333,45.52137675,54.75
44,37.8,48.70135875,58.375
45,40.666667,51.88134075,62
46,43.533333,54.3425725,62.75
47,46.4,55.56074875,63.5
48,49.266667,56.77892525,64.25
49,52.133333,57.99710125,65
50,55,59.21527775,65.75
51,57.733333,61.1805555,66.5
52,60.466667,63.1458335,67.25
53,60.444444,65.111111,68.8
54,60.222222,66.674603,73.4
55,60,68.23809525,78
56,62.5,70.48214275,82.6
57,64.571429,72.7261905,87.2
58,63.714286,74.97023825,91.8
59,62.857143,77.21428575,96.4
60,62,78.77083325,101
61,69.5,82.56666675,98.9
62,69.25,86.3625,96.8
63,69,90.15833325,106.4
64,75.285714,95.58809525,121.2
65,81.571429,101.0178573,136
66,87.857143,106.4942858,150.8
67,86.3,111.9707143,165.6
68,84.2,117.4471428,180.4
69,82.1,122.9235715,195.2
70,80,128.4,210
71,83.055556,129.993889,209.4
72,86.111111,131.5877778,208.8
73,89.166667,133.1816668,208.2
74,92.222222,134.7755555,207.6
75,95.277778,136.3694445,207
76,98.333333,137.9633333,206.4
77,101.388889,139.5572223,205.8
78,104.444444,141.151111,205.2
79,107.5,142.9592858,204.6
80,110.555556,144.7674605,204
81,113.611111,144.725635,196
82,116.666667,144.6838095,188
83,119.722222,144.641984,180
84,122.777778,144.6001588,172
85,125.833333,144.5583333,164
86,128.888889,145.718889,164
87,131.333333,146.8794443,164
88,130,148.04,164
89,129,146.3116668,166.08
90,128,144.5833333,169
91,124.5,143.6333333,167.733333
92,121,142.6833335,166.466667
93,120,142.3583333,165.2
94,119,142.0333333,163.933333
95,118,140.9166668,164
96,114,137.725,161.4
97,109,134.5333333,160.133333
98,104,131.3416668,158.866667
99,99,128.15,157.6
100,94,124.9583333,156.333333
101,98.4,124.1166668,155.066667
102,102.8,123.275,153.8
103,107.2,122.4333333,152.533333
104,109,121.5916668,151.266667
105,108,120.75,150
106,104.818182,119.921212,146.133333
107,101.636364,119.0924245,142.266667
108,98.454545,118.2636363,138.4
109,95.272727,117.4348483,134.533333
110,92.090909,116.6060608,138
111,88.909091,115.7772728,142.4
112,85.727273,114.9484848,146.8
113,82.545455,114.1196973,151.2
114,79.363636,113.290909,155.6
115,76.181818,112.462121,160
116,73,111.6333335,164.4
117,101,124.4666667,168.8
118,99.733333,124.422222,173.2
119,95.866667,124.377778,177.6
120,92,124.3333333,182
121,92.966667,121.388889,169.1
122,93.933333,118.4444443,156.2
123,94.9,115.5,143.3
124,95.866667,112.5555557,130.4
125,96.833333,109.611111,117.5
126,97.8,106.6666667,117.6
127,91.7,103.7222223,120.7
128,78.8,100.7777777,123.8
129,65.9,97.83333333,126.9
130,53,94.888889,130
131,53.318182,94.900505,128.75
132,53.636364,94.91212133,127.5
133,53.954545,94.92373733,126.25
134,54.272727,94.93535333,125
135,54.590909,94.94696967,123.75
136,54.909091,94.958586,122.5
137,55.227273,94.970202,121.25
138,55.545455,94.98181833,120
139,55.863636,94.87676767,118.4
140,56.181818,94.771717,116.8
141,56.5,94.66666667,115.2
142,56.818182,94.56161633,113.6
143,57.136364,94.45656567,114.233333
144,57.454545,94.351515,115.2
145,57.772727,94.24646467,116.166667
146,58.090909,94.141414,117.133333
147,58.409091,94.03636367,118.1
148,58.727273,93.93131333,119.066667
149,59.045455,94.359596,120.033333
150,59.363636,94.78787867,121
151,59.681818,81.840909,104
152,60,82,104
153,104,104,104
